,index,time,GSR,shock,stims,contexts,trls_rec
41714,47743,3.9789999999999996,-0.1648,0,0,7.0,3914.0
41715,47744,3.9789999999999996,-0.1633,0,0,7.0,3915.0
41716,47745,3.9789999999999996,-0.1602,0,0,7.0,3916.0
41717,47746,3.9789999999999996,-0.1633,0,0,7.0,3917.0
41718,47747,3.9789999999999996,-0.1633,0,0,7.0,3918.0
41719,47748,3.9789999999999996,-0.1617,0,0,7.0,3919.0
41720,47749,3.9789999999999996,-0.1602,0,0,7.0,3920.0
41721,47750,3.9789999999999996,-0.1633,0,0,7.0,3921.0
41722,47751,3.9789999999999996,-0.1617,0,0,7.0,3922.0
41723,47752,3.9789999999999996,-0.1587,0,0,7.0,3923.0
41724,47753,3.9789999999999996,-0.1617,0,0,7.0,3924.0
41725,47754,3.9789999999999996,-0.1617,0,0,7.0,3925.0
41726,47755,3.98,-0.1648,0,0,7.0,3926.0
41727,47756,3.98,-0.1633,0,0,7.0,3927.0
41728,47757,3.98,-0.1617,0,0,7.0,3928.0
41729,47758,3.98,-0.1602,0,0,7.0,3929.0
41730,47759,3.98,-0.1617,0,0,7.0,3930.0
41731,47760,3.98,-0.1617,0,0,7.0,3931.0
41732,47761,3.98,-0.1602,0,0,7.0,3932.0
41733,47762,3.98,-0.1617,0,0,7.0,3933.0
41734,47763,3.98,-0.1602,0,0,7.0,3934.0
41735,47764,3.98,-0.1617,0,0,7.0,3935.0
41736,47765,3.98,-0.1602,0,0,7.0,3936.0
41737,47766,3.9810000000000003,-0.1617,0,0,7.0,3937.0
41738,47767,3.9810000000000003,-0.1617,0,0,7.0,3938.0
41739,47768,3.9810000000000003,-0.1617,0,0,7.0,3939.0
41740,47769,3.9810000000000003,-0.1602,0,0,7.0,3940.0
41741,47770,3.9810000000000003,-0.1602,0,0,7.0,3941.0
41742,47771,3.9810000000000003,-0.1617,0,0,7.0,3942.0
41743,47772,3.9810000000000003,-0.1572,0,0,7.0,3943.0
41744,47773,3.9810000000000003,-0.1617,0,0,7.0,3944.0
41745,47774,3.9810000000000003,-0.1602,0,0,7.0,3945.0
41746,47775,3.9810000000000003,-0.1587,0,0,7.0,3946.0
41747,47776,3.9810000000000003,-0.1602,0,0,7.0,3947.0
41748,47777,3.9810000000000003,-0.1617,0,0,7.0,3948.0
41749,47778,3.9819999999999998,-0.1602,0,0,7.0,3949.0
41750,47779,3.9819999999999998,-0.1602,0,0,7.0,3950.0
41751,47780,3.9819999999999998,-0.1602,0,0,7.0,3951.0
41752,47781,3.9819999999999998,-0.1602,0,0,7.0,3952.0
41753,47782,3.9819999999999998,-0.1587,0,0,7.0,3953.0
41754,47783,3.9819999999999998,-0.1602,0,0,7.0,3954.0
41755,47784,3.9819999999999998,-0.1602,0,0,7.0,3955.0
41756,47785,3.9819999999999998,-0.1602,0,0,7.0,3956.0
41757,47786,3.9819999999999998,-0.1617,0,0,7.0,3957.0
41758,47787,3.9819999999999998,-0.1587,0,0,7.0,3958.0
